frame,id,x1,y1,x2,y2,cls,conf
210,1,239.86282348632812,178.95645141601562,310.8737487792969,257.10870361328125,63,1.0
240,1,204.34915161132812,185.4630126953125,283.0453796386719,268.960693359375,63,1.0
270,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
300,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
300,2,57.091373443603516,166.95156860351562,160.26010131835938,255.86465454101562,63,1.0
330,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
330,2,57.091373443603516,166.95156860351562,160.26010131835938,255.86465454101562,63,1.0
360,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
360,2,57.091373443603516,166.95156860351562,160.26010131835938,255.86465454101562,63,1.0
390,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
390,2,0.547576904296875,150.21144104003906,150.38327026367188,578.7379150390625,56,1.0
390,3,287.17449951171875,304.90057373046875,479.48150634765625,639.3009033203125,56,1.0
420,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
420,2,0.547576904296875,150.21144104003906,150.38327026367188,578.7379150390625,56,1.0
420,3,236.74566650390625,281.77783203125,479.70941162109375,635.233154296875,56,1.0
450,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
450,2,0.547576904296875,150.21144104003906,150.38327026367188,578.7379150390625,56,1.0
450,3,174.24285888671875,277.089599609375,472.12823486328125,636.239990234375,56,1.0
480,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
480,2,41.0478515625,274.40386962890625,382.61505126953125,638.1071166992188,56,1.0
480,3,174.24285888671875,277.089599609375,472.12823486328125,636.239990234375,56,1.0
510,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
510,2,41.0478515625,274.40386962890625,382.61505126953125,638.1071166992188,56,1.0
510,3,174.24285888671875,277.089599609375,472.12823486328125,636.239990234375,56,1.0
540,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
540,2,41.0478515625,274.40386962890625,382.61505126953125,638.1071166992188,56,1.0
540,3,174.24285888671875,277.089599609375,472.12823486328125,636.239990234375,56,1.0
570,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
570,2,41.0478515625,274.40386962890625,382.61505126953125,638.1071166992188,56,1.0
570,3,174.24285888671875,277.089599609375,472.12823486328125,636.239990234375,56,1.0
600,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
600,2,41.0478515625,274.40386962890625,382.61505126953125,638.1071166992188,56,1.0
600,3,174.24285888671875,277.089599609375,472.12823486328125,636.239990234375,56,1.0
600,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
630,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
630,2,41.0478515625,274.40386962890625,382.61505126953125,638.1071166992188,56,1.0
630,3,174.24285888671875,277.089599609375,472.12823486328125,636.239990234375,56,1.0
630,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
660,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
660,2,17.41607666015625,215.6697235107422,208.01431274414062,476.65386962890625,56,1.0
660,3,174.24285888671875,277.089599609375,472.12823486328125,636.239990234375,56,1.0
660,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
660,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
690,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
690,2,17.41607666015625,215.6697235107422,208.01431274414062,476.65386962890625,56,1.0
690,3,174.24285888671875,277.089599609375,472.12823486328125,636.239990234375,56,1.0
690,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
690,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
720,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
720,2,17.41607666015625,215.6697235107422,208.01431274414062,476.65386962890625,56,1.0
720,3,207.0856475830078,203.89732360839844,391.41973876953125,483.480224609375,56,1.0
720,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
720,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
750,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
